y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Thorium fuel cycle,,,4.0,,,2.0,,,1.0,1.0,4.0,3.0,6.0,7.0,7.0,7.0,13.0,5.0,2.0,2.0,,2.0
Triboelectric Nanogenerator,,,,,,,,,,,,,,6.0,7.0,10.0,19.0,35.0,35.0,47.0,67.0,39.0
Virtual power Plant,,1.0,2.0,1.0,2.0,3.0,,1.0,5.0,13.0,8.0,14.0,14.0,26.0,24.0,28.0,32.0,35.0,42.0,58.0,37.0,29.0
Vortex engine,,,,,1.0,,,1.0,1.0,2.0,1.0,,,3.0,1.0,2.0,,,1.0,2.0,1.0,
Wireless power transfer,,3.0,4.0,6.0,5.0,4.0,10.0,8.0,16.0,22.0,46.0,83.0,132.0,152.0,206.0,250.0,280.0,322.0,317.0,309.0,230.0,112.0
Zero-energy building,,,1.0,1.0,,,,4.0,1.0,6.0,4.0,10.0,16.0,22.0,35.0,28.0,47.0,37.0,40.0,33.0,48.0,9.0
Automated journalism,,,,,,,,,,,,,,,1.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0
Foundation garment,,,,,,,,2.0,,,,,1.0,1.0,,,1.0,,,,,
Haptic feedback systems,3.0,106.0,121.0,138.0,198.0,172.0,204.0,250.0,240.0,279.0,298.0,311.0,288.0,300.0,320.0,272.0,271.0,273.0,249.0,261.0,229.0,75.0
Wearable journalism,,6.0,3.0,12.0,11.0,27.0,21.0,9.0,20.0,24.0,26.0,32.0,39.0,49.0,152.0,362.0,513.0,679.0,776.0,1016.0,1024.0,398.0
Cryptocurrency,,,1.0,,,2.0,,3.0,6.0,6.0,10.0,8.0,10.0,18.0,43.0,66.0,76.0,158.0,344.0,467.0,445.0,183.0
Stablecoin,,,,,,,,,,,,,,,,,,,1.0,3.0,11.0,7.0
Companion robot,,,2.0,3.0,4.0,3.0,5.0,13.0,9.0,20.0,29.0,27.0,28.0,35.0,48.0,36.0,56.0,69.0,84.0,109.0,113.0,45.0
Cryonics,,,,1.0,1.0,,,1.0,4.0,1.0,,1.0,,,,3.0,2.0,1.0,1.0,4.0,2.0,
Extreme Life extension,4.0,96.0,106.0,108.0,115.0,126.0,109.0,138.0,147.0,172.0,187.0,184.0,207.0,228.0,212.0,240.0,199.0,199.0,205.0,188.0,139.0,41.0
Suspended animation,3.0,2.0,3.0,5.0,8.0,8.0,3.0,2.0,3.0,11.0,5.0,3.0,3.0,4.0,4.0,7.0,7.0,4.0,7.0,3.0,3.0,2.0
5D DVD,,,,,,,,,,,,,,,,,,,,,,
5g,5.0,19.0,11.0,20.0,26.0,32.0,24.0,43.0,42.0,46.0,43.0,74.0,72.0,113.0,292.0,442.0,701.0,1060.0,1360.0,1749.0,1876.0,921.0
6G,5.0,10.0,19.0,19.0,29.0,24.0,25.0,44.0,36.0,50.0,67.0,84.0,87.0,112.0,122.0,108.0,97.0,103.0,114.0,164.0,310.0,218.0
Ambient intelligence,,63.0,92.0,155.0,234.0,295.0,347.0,329.0,336.0,358.0,326.0,313.0,243.0,219.0,222.0,204.0,179.0,150.0,124.0,102.0,79.0,23.0
Artificial brain,,8.0,5.0,4.0,5.0,7.0,5.0,9.0,5.0,10.0,19.0,8.0,8.0,3.0,8.0,10.0,8.0,5.0,9.0,8.0,6.0,4.0
Artificial general intelligence,9.0,488.0,634.0,639.0,811.0,820.0,905.0,908.0,1024.0,1102.0,1166.0,1194.0,1294.0,1331.0,1354.0,1485.0,1667.0,2016.0,3245.0,4786.0,6986.0,3729.0
Atmospheric satellite,,,,,,,,1.0,,,,,2.0,1.0,1.0,,,2.0,1.0,2.0,2.0,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,3.0,3.0,1.0,8.0,10.0,5.0,4.0,36.0,336.0,927.0,1770.0,2684.0,3379.0,3705.0,3392.0,2827.0,2709.0,2564.0,2095.0,1818.0,842.0
Compressive Sensing,,1.0,,,,1.0,7.0,27.0,48.0,111.0,189.0,287.0,367.0,433.0,452.0,461.0,426.0,403.0,366.0,322.0,228.0,99.0
Deep learning,,14.0,17.0,18.0,13.0,45.0,48.0,43.0,39.0,58.0,60.0,87.0,96.0,155.0,304.0,627.0,1255.0,2788.0,5852.0,10186.0,14379.0,7519.0
deep trench capacitor,,,,,,,,,,,,,,1.0,,,,,,,,
Digital image processing,32.0,465.0,590.0,688.0,835.0,972.0,1018.0,1184.0,1229.0,1401.0,1541.0,1656.0,1920.0,2117.0,2358.0,2163.0,1964.0,2044.0,2041.0,2146.0,1995.0,931.0
Digital image segmentation,,1.0,,,,2.0,,2.0,,1.0,,2.0,3.0,3.0,6.0,2.0,4.0,2.0,1.0,,,
Distributed ledger,,,,,,1.0,2.0,,2.0,,1.0,,2.0,1.0,4.0,36.0,191.0,633.0,1719.0,2738.0,2868.0,1493.0
DNA Computing,,20.0,32.0,28.0,54.0,47.0,49.0,55.0,64.0,88.0,53.0,43.0,54.0,48.0,62.0,33.0,29.0,37.0,20.0,30.0,31.0,11.0
DNA digital data storage,,,,,,,,,,,,,,,,,,,,,,
Edge Computing,,,1.0,1.0,,2.0,1.0,3.0,1.0,2.0,,2.0,2.0,1.0,6.0,20.0,91.0,282.0,543.0,883.0,1039.0,587.0
